"name","synonym"
"Don't Stop The Music","Don't Stop The Music"
"Maneater","Maneater"
"Uptown Girl","Uptown Girl"
"Temperature","Temperature"
"Fast Car","Fast Car"
"Otherside","Otherside"
"Electric Feel","Electric Feel"
"Take Me Out","Take Me Out"
"Womanizer","Womanizer"
"Put Your Records On","Put Your Records On"
"Impossible","Impossible"
"Nights","Nights"
"Feel It Still","Feel It Still"
"Landslide","Landslide"
"Shake It Off","Shake It Off"
"Chandelier","Chandelier"
"One Last Time","One Last Time"
"Everlong","Everlong"
"Come As You Are","Come As You Are"
"What Do You Mean?","What Do You Mean?"
"My House","My House"
"Dream On","Dream On"
"Ivy","Ivy"
"Can I Be Him","Can I Be Him"
"Bad Moon Rising","Bad Moon Rising"
"Best Song Ever","Best Song Ever"
"Wind Of Change","Wind Of Change"
"Strawberries & Cigarettes","Strawberries & Cigarettes"
"Money","Money"
"Nobody","Nobody"
"Nice For What","Nice For What"
"In My Feelings","In My Feelings"
"Euphoria","Euphoria"
"Out Of Love","Out Of Love"
"Ain't No Sunshine","Ain't No Sunshine"
"If I Can't Have You","If I Can't Have You"
"Lover","Lover"
"Heart Attack","Heart Attack"
"Ahora Te Puedes Marchar","Ahora Te Puedes Marchar"
"Hey Brother","Hey Brother"
"ON","ON"
"Crazy Train","Crazy Train"
"Stay","Stay"
"Get Back","Get Back"
"The Kids Aren't Alright","The Kids Aren't Alright"
"Die Young","Die Young"
"They Don't Know About Us","They Don't Know About Us"
"Ruff Ryders' Anthem","Ruff Ryders' Anthem"
"You & I","You & I"
"Treasure","Treasure"
"We Can't Stop","We Can't Stop"
"Little Things","Little Things"
"Baba O'Riley","Baba O'Riley"
"Walk Of Life","Walk Of Life"
"We Are Never Ever Getting Back Together","We Are Never Ever Getting Back Together"
"Filter","Filter"
"Grenade","Grenade"
"Never Really Over","Never Really Over"
"Stupid Love","Stupid Love"
"Popular Monster","Popular Monster"
"In My Room","In My Room"
"Together","Together"
"Tequila Shots","Tequila Shots"
"Sk8er Boi","Sk8er Boi"
"Rock Your Body","Rock Your Body"
"Clocks","Clocks"
"In My Blood","In My Blood"
"Radioactive","Radioactive"
"Supermarket Flowers","Supermarket Flowers"
"Rescue Me","Rescue Me"
"New Light","New Light"
"Chlorine","Chlorine"
"The Man","The Man"
"The Final Countdown","The Final Countdown"
"You Say","You Say"
"Toxicity","Toxicity"
"Me and My Husband","Me and My Husband"
"Revenge","Revenge"
"Human","Human"
"Careless Whisper","Careless Whisper"
"Chicken Fried","Chicken Fried"
"Perfect","Perfect"
"Stitches","Stitches"
"Love Story","Love Story"
"Welcome To The Jungle","Welcome To The Jungle"
"Disturbia","Disturbia"
"Wildest Dreams","Wildest Dreams"
"Delicate","Delicate"
"Poker Face","Poker Face"
"Walking On A Dream","Walking On A Dream"
"Bleeding Love","Bleeding Love"
"The Pretender","The Pretender"
"Stargazing","Stargazing"
"Wrecking Ball","Wrecking Ball"
"Dani California","Dani California"
"Black Magic","Black Magic"
"Stay Gold","Stay Gold"
"Plastic Hearts","Plastic Hearts"
"Paranoid","Paranoid"
"White Dress","White Dress"
"Hotline Bling","Hotline Bling"
"Million Reasons","Million Reasons"
"Desperado","Desperado"
"Duality","Duality"
"Gasolina","Gasolina"
"Somewhere Only We Know","Somewhere Only We Know"
"Unwritten","Unwritten"
"Replay","Replay"
"Rap God","Rap God"
"This Town","This Town"
"the 1","the 1"
"Drive By","Drive By"
"Knockin' On Heaven's Door","Knockin' On Heaven's Door"
"Mr. Jones","Mr. Jones"
"I Will Always Love You","I Will Always Love You"
"Scar Tissue","Scar Tissue"
"Santeria","Santeria"
"One","One"
"Diamonds","Diamonds"
"Linger","Linger"
"When We Were Young","When We Were Young"
"Bodak Yellow","Bodak Yellow"
"When You Were Young","When You Were Young"
"Feels Like We Only Go Backwards","Feels Like We Only Go Backwards"
"Believe","Believe"
"Johnny B. Goode","Johnny B. Goode"
"Kiss Me","Kiss Me"
"Washing Machine Heart","Washing Machine Heart"
"Bitch Better Have My Money","Bitch Better Have My Money"
"Face Down","Face Down"
"Hello","Hello"
"Rise","Rise"
"De Una Vez","De Una Vez"
"Nena Buena","Nena Buena"
"(Everything I Do) I Do It For You","(Everything I Do) I Do It For You"
"Dile","Dile"
"Brooklyn Baby","Brooklyn Baby"
"Good News","Good News"
"Take A Bow","Take A Bow"
"august","august"
"Sweet Melody","Sweet Melody"
"Level of Concern","Level of Concern"
"For What It's Worth","For What It's Worth"
"Monster","Monster"
"Use Somebody","Use Somebody"
"Secrets","Secrets"
"Falling Like The Stars","Falling Like The Stars"
"Ayy Macarena","Ayy Macarena"
"Love Me","Love Me"
"Heaven","Heaven"
"Cruel Summer","Cruel Summer"
"Royals","Royals"
"Lifetime","Lifetime"
"Ribs","Ribs"
"Good Feeling","Good Feeling"
"Mockingbird","Mockingbird"
"Black Hole Sun","Black Hole Sun"
"Lovely Day","Lovely Day"
"Piano Man","Piano Man"
"Starships","Starships"
"Wonderful Tonight","Wonderful Tonight"
"Cheap Thrills","Cheap Thrills"
"On Melancholy Hill","On Melancholy Hill"
"My Way","My Way"
"Into You","Into You"
"You And Me","You And Me"
"Pump It","Pump It"
"You're Beautiful","You're Beautiful"
"Are You Gonna Be My Girl","Are You Gonna Be My Girl"
"Before He Cheats","Before He Cheats"
"Just A Lil Bit","Just A Lil Bit"
"Uprising","Uprising"
"21 Guns","21 Guns"
"Make You Feel My Love","Make You Feel My Love"
"A Thousand Miles","A Thousand Miles"
"Come On Eileen","Come On Eileen"
"Carry On","Carry On"
"Girlfriend","Girlfriend"
"At Last","At Last"
"Fluorescent Adolescent","Fluorescent Adolescent"
"Midnight City","Midnight City"
"gold rush","gold rush"
"Walk This Way","Walk This Way"
"The A Team","The A Team"
"Say My Name","Say My Name"
"Harder, Better, Faster, Stronger","Harder, Better, Faster, Stronger"
"Antidote","Antidote"
"What I've Done","What I've Done"
"Roxanne","Roxanne"
"Look What You Made Me Do","Look What You Made Me Do"
"History","History"
"Slow Hands","Slow Hands"
"La Incondicional","La Incondicional"
"Wish You Were Here","Wish You Were Here"
"S&M","S&M"
"Fake Love","Fake Love"
"It Will Rain","It Will Rain"
"Mr. Rager","Mr. Rager"
"I Just Called To Say I Love You","I Just Called To Say I Love You"
"Dangerous Woman","Dangerous Woman"
"Pied Piper","Pied Piper"
"Stacy's Mom","Stacy's Mom"
"P.I.M.P.","P.I.M.P."
"When I Come Around","When I Come Around"
"Rhinestone Eyes","Rhinestone Eyes"
"Drive","Drive"
"Better Together","Better Together"
"Dance, Dance","Dance, Dance"
"Friday I'm In Love","Friday I'm In Love"
"One Step Closer","One Step Closer"
"Rude Boy","Rude Boy"
"When I Look At You","When I Look At You"
"Best I Ever Had","Best I Ever Had"
"Rainha da Favela","Rainha da Favela"
"I Write Sins Not Tragedies","I Write Sins Not Tragedies"
"Alive (It Feels Like)","Alive (It Feels Like)"
"Yummy","Yummy"
"Afraid","Afraid"
"Arabella","Arabella"
"I'm On Fire","I'm On Fire"
"Only Human","Only Human"
"Mikrokosmos","Mikrokosmos"
"Que Tire Pa Lante","Que Tire Pa Lante"
"Purple Rain","Purple Rain"
"Spring Day","Spring Day"
"The Lazy Song","The Lazy Song"
"Message In A Bottle","Message In A Bottle"
"Don't Stop 'Til You Get Enough","Don't Stop 'Til You Get Enough"
"Mamma Mia","Mamma Mia"
"How Deep Is Your Love","How Deep Is Your Love"
"Teenage Fever","Teenage Fever"
"Rock And Roll All Nite","Rock And Roll All Nite"
"Love Song","Love Song"
"Skinny Love","Skinny Love"
"Let Me Love You","Let Me Love You"
"Blue World","Blue World"
"I'm Not Okay (I Promise)","I'm Not Okay (I Promise)"
"Always","Always"
"Say It Ain't So","Say It Ain't So"
"Sweet Emotion","Sweet Emotion"
"Wonderwall","Wonderwall"
"Black Skinhead","Black Skinhead"
"Roar","Roar"
"Training Wheels","Training Wheels"
"Tonight Tonight","Tonight Tonight"
"Tulsa Jesus Freak","Tulsa Jesus Freak"
"Marry You","Marry You"
"Here Without You","Here Without You"
"Glad You Came","Glad You Came"
"Last Friday Night (T.G.I.F.)","Last Friday Night (T.G.I.F.)"
"Don't Call Me","Don't Call Me"
"Better Days","Better Days"
"Supermassive Black Hole","Supermassive Black Hole"
"Tainted Love","Tainted Love"
"Where Have You Been","Where Have You Been"
"Los Dioses","Los Dioses"
"Olivia","Olivia"
"Live While We're Young","Live While We're Young"
"Alive","Alive"
"Let It Happen","Let It Happen"
"Even Flow","Even Flow"
"Better When I'm Dancin'","Better When I'm Dancin'"
"Superheroes","Superheroes"
"Fake It","Fake It"
"Nobody's Love","Nobody's Love"
"Gnat","Gnat"
"Something Special","Something Special"
"Rasputin","Rasputin"
"Hurt","Hurt"
"Let's Stay Together","Let's Stay Together"
"If You Leave Me Now","If You Leave Me Now"
"Kiss You","Kiss You"
"Stronger (What Doesn't Kill You)","Stronger (What Doesn't Kill You)"
"Ho Hey","Ho Hey"
"Speechless","Speechless"
"The One That Got Away","The One That Got Away"
"On Top Of The World","On Top Of The World"
"Immortals","Immortals"
"In Too Deep","In Too Deep"
"Break Stuff","Break Stuff"
"I Wonder","I Wonder"
"Malibu","Malibu"
"I Kissed A Girl","I Kissed A Girl"
"Somebody Else","Somebody Else"
"Getaway Car","Getaway Car"
"Before I Forget","Before I Forget"
"Somebody Told Me","Somebody Told Me"
"Not About Angels","Not About Angels"
"No Control","No Control"
"Bubbly","Bubbly"
"Respect","Respect"
"Savior","Savior"
"Human","Human"
"Daisies","Daisies"
"breathin","breathin"
"Misery Business","Misery Business"
"You're Still The One","You're Still The One"
"Baby Can I Hold You","Baby Can I Hold You"
"betty","betty"
"Violent Crimes","Violent Crimes"
"We're Not Gonna Take It","We're Not Gonna Take It"
"Forever","Forever"
"Barracuda","Barracuda"
"Ain't It Fun","Ain't It Fun"
"Torn","Torn"
"Hung Up","Hung Up"
"One Thing","One Thing"
"More Than Words","More Than Words"
"Skyfall","Skyfall"
"Alone","Alone"
"You Found Me","You Found Me"
"Gangstas","Gangstas"
"Liability","Liability"
"To Die For","To Die For"
"One More Night","One More Night"
"Praying","Praying"
"Green Light","Green Light"
"Hard Times","Hard Times"
"Unstoppable","Unstoppable"
"Self Control","Self Control"
"Fallin' All In You","Fallin' All In You"
"The Man Who Sold The World","The Man Who Sold The World"
"Every Little Thing She Does Is Magic","Every Little Thing She Does Is Magic"
"Back To Black","Back To Black"
"Swimming Pools (Drank)","Swimming Pools (Drank)"
"Say It Right","Say It Right"
"When The Sun Goes Down","When The Sun Goes Down"
"Dive","Dive"
"I Should Probably Go To Bed","I Should Probably Go To Bed"
"Naive","Naive"
"Get Down On It","Get Down On It"
"Love Shot","Love Shot"
"Karma Police","Karma Police"
"Pompeii","Pompeii"
"Money For Nothing","Money For Nothing"
"Love Me or Leave Me","Love Me or Leave Me"
"Wanted Dead Or Alive","Wanted Dead Or Alive"
"Master Of Puppets","Master Of Puppets"
"Throne","Throne"
"Domino","Domino"
"Whenever, Wherever","Whenever, Wherever"
"Dear Future Husband","Dear Future Husband"
"Sparks","Sparks"
"Loco","Loco"
"I Love Me","I Love Me"
"If I Could Fly","If I Could Fly"
"Ocean Avenue","Ocean Avenue"
"Imagination","Imagination"
"Black","Black"
"Cigarette Daydreams","Cigarette Daydreams"
"Only Girl (In The World)","Only Girl (In The World)"
"My Immortal","My Immortal"
"Where Is The Love?","Where Is The Love?"
"Rosas","Rosas"
"Reptilia","Reptilia"
"Just A Dream","Just A Dream"
"Lonely Boy","Lonely Boy"
"Alone","Alone"
"Don't Know Why","Don't Know Why"
"My Time","My Time"
"Imagination","Imagination"
"Bulls On Parade","Bulls On Parade"
"Did It Again","Did It Again"
"Alright","Alright"
"Boys Don't Cry","Boys Don't Cry"
"Paper Rings","Paper Rings"
"Doin' Time","Doin' Time"
"The Beach","The Beach"
"King Kunta","King Kunta"
"Slide Away","Slide Away"
"Stone Cold","Stone Cold"
"Beautiful Day","Beautiful Day"
"Firework","Firework"
"Nice To Meet Ya","Nice To Meet Ya"
"Get Busy","Get Busy"
"Ex Bitch","Ex Bitch"
"Follow God","Follow God"
"Crazy","Crazy"
"The Anthem","The Anthem"
"I'm Not Cool","I'm Not Cool"
"Dreams","Dreams"
"New Person, Same Old Mistakes","New Person, Same Old Mistakes"
"When I Grow Up","When I Grow Up"
"Breakeven","Breakeven"
"Trouble","Trouble"
"Circus","Circus"
"What's Next","What's Next"
"Dollhouse","Dollhouse"
"Starlight","Starlight"
"You Belong With Me","You Belong With Me"
"Me & U","Me & U"
"Feel","Feel"
"She Will Be Loved","She Will Be Loved"
"Hot In Herre","Hot In Herre"
"Man! I Feel Like A Woman!","Man! I Feel Like A Woman!"
"Kiss","Kiss"
"Gravity","Gravity"
"Courtesy Call","Courtesy Call"
"Cry Baby","Cry Baby"
"911","911"
"Summertime Sadness","Summertime Sadness"
"Part Of Me","Part Of Me"
"Pacify Her","Pacify Her"
"Toes","Toes"
"Mad Hatter","Mad Hatter"
"The Unforgiven","The Unforgiven"
"Give It Away","Give It Away"
"Time Flies","Time Flies"
"Forever Young","Forever Young"
"Yikes","Yikes"
"It Girl","It Girl"
"invisible string","invisible string"
"Higher","Higher"
"Riot","Riot"
"My Name Is","My Name Is"
"Born This Way","Born This Way"
"Still Loving You","Still Loving You"
"Headlines","Headlines"
"Criminal","Criminal"
"Give Me Love","Give Me Love"
"Aerials","Aerials"
"Bed Of Roses","Bed Of Roses"
"Can't Tell Me Nothing","Can't Tell Me Nothing"
"Bleed It Out","Bleed It Out"
"Apologize","Apologize"
"Always Be My Baby","Always Be My Baby"
"High and Dry","High and Dry"
"Walk","Walk"
"I Have Nothing","I Have Nothing"
"Bodies","Bodies"
"Bounce Back","Bounce Back"
"Down On The Corner","Down On The Corner"
"my tears ricochet","my tears ricochet"
"the last great american dynasty","the last great american dynasty"
"MLK Interlude","MLK Interlude"
"Don't Speak","Don't Speak"
"Life Rolls On","Life Rolls On"
"Teach Me How To Love","Teach Me How To Love"
"Gypsy","Gypsy"
"Listen To Your Heart","Listen To Your Heart"
"Fat Lip","Fat Lip"
"Naked","Naked"
"Super Freak","Super Freak"
"Tom Sawyer","Tom Sawyer"
"Wherever You Will Go","Wherever You Will Go"
"Down Under","Down Under"
"Too Much To Ask","Too Much To Ask"
"Depression & Obsession","Depression & Obsession"
"El Farsante","El Farsante"
"Se Preparó","Se Preparó"
"Brazil","Brazil"
"Sacrifice","Sacrifice"
"I Won't Give Up","I Won't Give Up"
"Comfortably Numb","Comfortably Numb"
"Intro","Intro"
"I Hate Everything About You","I Hate Everything About You"
"Sabotage","Sabotage"
"Maggie May","Maggie May"
"Break Your Heart","Break Your Heart"
"Stricken","Stricken"
"The Climb","The Climb"
"All My Life","All My Life"
"Cruise","Cruise"
"tolerate it","tolerate it"
"Easier","Easier"
"Whatcha Say","Whatcha Say"
"Your Love","Your Love"
"Snap Out Of It","Snap Out Of It"
"Ordinary World","Ordinary World"
"Team","Team"
"Neighbors","Neighbors"
"What A Wonderful World","What A Wonderful World"
"Knockin' On Heaven's Door","Knockin' On Heaven's Door"
"I Forgot That You Existed","I Forgot That You Existed"
"Friends","Friends"
"Black Swan","Black Swan"
"Beautiful Soul","Beautiful Soul"
"Material Girl","Material Girl"
"Simple","Simple"
"Light My Fire","Light My Fire"
"Free Bird","Free Bird"
"Helena","Helena"
"1985","1985"
"needy","needy"
"The Passenger","The Passenger"
"Vienna","Vienna"
"Unsainted","Unsainted"
"God's Country","God's Country"
"I Found You","I Found You"
"Papaoutai","Papaoutai"
"We R Who We R","We R Who We R"
"Epiphany","Epiphany"
"Lost In Japan","Lost In Japan"
"Serendipity (Full Length Edition)","Serendipity (Full Length Edition)"
"Pretty Fly (For A White Guy)","Pretty Fly (For A White Guy)"
"Love Me Like You Do","Love Me Like You Do"
"Hasta Que Me Olvides","Hasta Que Me Olvides"
"All About That Bass","All About That Bass"
"Tequila","Tequila"
"Don't Bring Me Down","Don't Bring Me Down"
"Feel Invincible","Feel Invincible"
"Angels","Angels"
"What I Got","What I Got"
"Buddy Holly","Buddy Holly"
"Time After Time","Time After Time"
"Jolene","Jolene"
"The Winner Takes It All","The Winner Takes It All"
"Dark Necessities","Dark Necessities"
"Spaceman","Spaceman"
"Long Live","Long Live"
"All I Ask","All I Ask"
"Take A Chance On Me","Take A Chance On Me"
"Confident","Confident"
"Alright","Alright"
"Poison","Poison"
"Thinkin Bout You","Thinkin Bout You"
"Purple Haze","Purple Haze"
"Yosemite","Yosemite"
"Slow Motion","Slow Motion"
"Warriors","Warriors"
"The Show Goes On","The Show Goes On"
"Cough Syrup","Cough Syrup"
"Kiss Me","Kiss Me"
"Sexual Healing","Sexual Healing"
"Lego House","Lego House"
"The Drug In Me Is You","The Drug In Me Is You"
"Keep Your Head Up","Keep Your Head Up"
"Lovefool","Lovefool"
"Fantasy","Fantasy"
"The Beautiful People","The Beautiful People"
"Barefoot Blue Jean Night","Barefoot Blue Jean Night"
"The Look","The Look"
"My Songs Know What You Did In The Dark (Light Em Up)","My Songs Know What You Did In The Dark (Light Em Up)"
"I Heard It Through The Grapevine","I Heard It Through The Grapevine"
"Controlla","Controlla"
"Some Nights","Some Nights"
"22","22"
"Animal","Animal"
"You Are The Sunshine Of My Life","You Are The Sunshine Of My Life"
"Save Me","Save Me"
"Skinny Love","Skinny Love"
"Lost In Yesterday","Lost In Yesterday"
"Ultralight Beam","Ultralight Beam"
"Money","Money"
"Need You Now","Need You Now"
"What You Know","What You Know"
"Marry Me","Marry Me"
"All You Ever Wanted","All You Ever Wanted"
"Whiskey In The Jar","Whiskey In The Jar"
"Not All Who Wander Are Lost","Not All Who Wander Are Lost"
"Boyfriend","Boyfriend"
"Hero","Hero"
"Good Life","Good Life"
"100","100"
"For Once In My Life","For Once In My Life"
"White Room","White Room"
"Jessie's Girl","Jessie's Girl"
"Crocodile Rock","Crocodile Rock"
"Feel No Ways","Feel No Ways"
"Ain't Your Mama","Ain't Your Mama"
"Simple Man","Simple Man"
"Lost","Lost"
"Dreams and Nightmares","Dreams and Nightmares"
"Fire Burning","Fire Burning"
"Hotel Room Service","Hotel Room Service"
"Meet Me Halfway","Meet Me Halfway"
"My Way","My Way"
"Imperfections (Interlude)","Imperfections (Interlude)"
"Work Bitch","Work Bitch"
"imagine","imagine"
"If I Could Turn Back Time","If I Could Turn Back Time"
"La Media Vuelta","La Media Vuelta"
"Behind Blue Eyes","Behind Blue Eyes"
"Roses","Roses"
"Bluebird","Bluebird"
"nasty","nasty"
"Settling Down","Settling Down"
"I Guess I Just Feel Like","I Guess I Just Feel Like"
"Animal I Have Become","Animal I Have Become"
"this is me trying","this is me trying"
"I Bet You Look Good On The Dancefloor","I Bet You Look Good On The Dancefloor"
"Through Glass","Through Glass"
"Rehab","Rehab"
"Something About Us","Something About Us"
"Liar","Liar"
"Sixteen","Sixteen"
"Baila Baila Baila","Baila Baila Baila"
"Cryin'","Cryin'"
"How Will I Know","How Will I Know"
"Car Radio","Car Radio"
"Knee Socks","Knee Socks"
"just like magic","just like magic"
"Midnight Memories","Midnight Memories"
"Applause","Applause"
"Saturday Sun","Saturday Sun"
"Killshot","Killshot"
"Made For You","Made For You"
"Be My Mistake","Be My Mistake"
"Lips Of An Angel","Lips Of An Angel"
"Last Nite","Last Nite"
"Tu Sin Mi","Tu Sin Mi"
"Me Gustas Tu","Me Gustas Tu"
"New Slang","New Slang"
"U Remind Me","U Remind Me"
"Coming Undone","Coming Undone"
"Family Affair","Family Affair"
"Sunrise","Sunrise"
"Everybody's Changing","Everybody's Changing"
"Since U Been Gone","Since U Been Gone"
"Dime Tú","Dime Tú"
"Small Worlds","Small Worlds"
"Finesse","Finesse"
"Make It Right","Make It Right"
"Ladders","Ladders"
"When Doves Cry","When Doves Cry"
"Dura","Dura"
"Sober","Sober"
"Me Too","Me Too"
"Barbie Girl","Barbie Girl"
"No Surprises","No Surprises"
"Moon","Moon"
"Inner Child","Inner Child"
"Rebel Yell","Rebel Yell"
"UGH!","UGH!"
"Hey Look Ma, I Made It","Hey Look Ma, I Made It"
"Magic","Magic"
"mirrorball","mirrorball"
"She Looks So Perfect","She Looks So Perfect"
"illicit affairs","illicit affairs"
"No One Knows","No One Knows"
"Paris","Paris"
"Do Not Disturb","Do Not Disturb"
"One More Light","One More Light"
"Mystery of Love","Mystery of Love"
"I Did Something Bad","I Did Something Bad"
"Crawling","Crawling"
"...Ready For It?","...Ready For It?"
